API,Operator,ID,WellType,WellName,OrderNumbers,Date,County,LAT,LONG,PSI,BBLS
3500323306,TRANS PACIFIC OIL CORPORATION,23435,2D,MOTT A SWDW,1905000090,1/7/2019,ALFALFA,36.9949050,-98.4977440,275,"2,500"
3500323307,TRANS PACIFIC OIL CORPORATION,23435,2D,SCHWARTZ A SWDW,1811690002,6/15/2018,ALFALFA,36.9655020,-98.4793000,230,"2,500"
3500323308,TRANS PACIFIC OIL CORPORATION,23435,2D,FOUR SISTERS A SWDW,1811690001,6/29/2018,ALFALFA,36.9369640,-98.5157410,274,"1,000"
3500323314,AEXCO PETROLEUM INC,17342,2D,ANDREE SWD,1811490005,7/23/2018,ALFALFA,36.6517121,-98.3656516,"2,120","1,200"
3500735917,WILLIFORD ENERGY COMPANY,7697,2R,NW DOWER UNIT,1807850033,1/23/2019,BEAVER,36.5412810,-100.8282000,"2,000","1,000"
3501121445,ARROW OIL & GAS LLC,7250,CDW,COMPTON,1803470006,7/30/2018,BLAINE,35.8448090,-98.3171200,"2,500","9,990"
3501121452,VISTA DISPOSAL SOLUTIONS LLC,24198,CDW,JAMES,1903850077,1/18/2019,BLAINE,35.6861970,-98.3615800,"3,000","19,999"
3501121920,LAGOON WATER LOGISTICS LLC,24110,CDW,CANTELLAY SWD,1808800038,12/6/2018,BLAINE,36.1210300,-98.5092800,"2,900","19,999"
3501122164,VISTA DISPOSAL SOLUTIONS LLC,24198,CDW,"CHRISTENSEN UNIT ""B""",1903850078,11/27/2018,BLAINE,35.6943550,-98.3615800,"1,440","19,999"
3501122762,S & S STAR OPERATING LLC,23996,CDW,NAULT,1905610031,1/11/2019,BLAINE,35.9023430,-98.3947100,"1,900","19,999"
3501123035,D & J OIL COMPANY INC,17713,CDW,FOX,677132,5/1/2018,BLAINE,35.8752180,-98.3971800,"1,619","15,000"
3501123214,BOSTICK SERVICES CORPORATION,21316,CDW,VIOLET,1902000022,10/8/2018,BLAINE,35.8186382,-98.4167788,"2,600","19,999"
3501123776,LAGOON WATER LOGISTICS LLC,24110,CDW,SLO-POKE SWD,1806280033,3/8/2018,BLAINE,35.9860800,-98.4774300,"2,600","19,999"
3501523258,CITATION OIL & GAS CORPORATION,14156,2R,WEST CEMENT UNIT,1903400002,11/13/2018,CADDO,34.9492332,-98.2187116,"1,350","1,500"
3501721239,S & S STAR OPERATING LLC,24100,CDW,HANSKA,1902070027,11/5/2018,CANADIAN,35.4988070,-97.7885500,900,"15,000"
3501722156,Y D F INC,18880,CDW,HODGES,1812730027,8/7/2018,CANADIAN,35.4487790,-97.6814010,3000,"19,500"
3501722289,URBAN OIL & GAS GROUP LLC,22756,2R,CALUMET COTTAGE GROVE UNIT,1907460025,2/26/2019,CANADIAN,35.5820890,-98.0870000,"2,500","3,000"
3501722728,URBAN OIL & GAS GROUP LLC,22756,2R,CALUMET COTTAGE GROVE UNIT,1904760027,2/26/2019,CANADIAN,35.5740320,-98.0666790,"2,500","3,000"
3501723981,MID-CON ENERGY OPERATING LLC,23271,2R,ROBBERSON,1811320012,7/16/2018,CANADIAN,35.3368611,-97.7002010,"2,500","3,000"
3501724759,Y D F INC,18880,CDW,YDF SWD,1812730026,8/18/2018,CANADIAN,35.4478590,-97.6827910,"3,000","19,500"
3501725139,S & S STAR OPERATING LLC,23996,CDW,UNION CITY SWD,1805620005,1/18/2018,CANADIAN,35.3928830,-97.9209200,"1,500","19,990"
3501725140,S & S STAR OPERATING LLC,23996,CDW,UNION CITY SWD,1805620006,1/18/2018,CANADIAN,35.3953030,-97.9202320,"3,015","6,300"
3501725142,A & A TANK TRUCK CO,15608,CDW,YUKON YARD SWD,1803470005,6/12/2018,CANADIAN,35.5036170,-97.8041010,"2,000","19,950"
3501725176,S & S STAR OPERATING LLC,23996,CDW,YUKON,1807170009,3/15/2018,CANADIAN,35.4937770,-97.7932780,"1,300","19,990"
3501725211,S & S STAR OPERATING LLC,23996,CDW,CANADIAN SWD,1810090010,5/15/2018,CANADIAN,35.3903300,-97.8826600,"1,700","19,999"
3501725228,STACK WATER SOLUTIONS LLC,24142,2D,STACK WATER,1811540029,6/6/2018,CANADIAN,35.7236800,-97.7717900,"3,500","19,500"
3501725251,LAGOON WATER LOGISTICS LLC,24110,CDW,MUD BUG SWD,1900810037,9/14/2018,CANADIAN,35.7179120,-97.8886110,"1,500","19,999"
3501750001,WILLIAMS REID OPERATING INC,18877,2R,ALMA M. BURGE,1807220042,4/24/2018,CANADIAN,35.5422860,-98.0857380,"1,000","1,500"
3501902880,WFW PRODUCTION COMPANY INC,20652,2R,W. Y. YOUNG,1807700006,3/2/2018,CARTER,34.4670570,-97.4576400,"1,064","3,000"
3501903085,CITATION OIL & GAS CORPORATION,14156,2R,TATUMS FIELD UNIT,1902890017,12/17/2018,CARTER,34.4765120,-97.4931204,"1,023","2,500"
3501903901,KODIAK OIL & GAS INC,23226,2D,BRADY,1803820007,8/13/2018,CARTER,34.4118010,-97.4259800,921,"4,500"
3501905611,CHAPARRAL ENERGY LLC,16896,2R,SYCAMORE UNIT,1703600012,1/29/2018,CARTER,34.3423170,-97.4953100,"1,573","2,000"
3501906157,KODIAK OIL & GAS INC,23226,2R,AMENDED WHEELER UNIT,1905130014,12/4/2018,CARTER,34.2495600,-97.3855700,650,400
3501921025,ARDMORE PRODUCTION & EXPLORATION CO,16133,2R,STONE,1808490012,4/6/2018,CARTER,34.2472940,-97.3762900,"2,000","1,000"
3501921027,ARDMORE PRODUCTION & EXPLORATION CO,16133,2R,AWU (FISH 1),1808910032,4/9/2018,CARTER,34.2508500,-97.3803300,"2,000","1,000"
3501921256,ARDMORE PRODUCTION & EXPLORATION CO,16133,2R,BUDDY BROWN,1808300002,3/8/2018,CARTER,34.2536420,-97.3730100,"2,000","1,000"
3501921674,KODIAK OIL & GAS INC,23226,2R,AMENDED WHEELER UNIT,1905130018,12/3/2018,CARTER,34.2477480,-97.3790200,650,400
3501923036,BUTKIN OIL COMPANY LLC,21023,2R,LAURA LYNN,1808360002,3/22/2018,CARTER,34.4222030,-97.4407100,730,"2,000"
3501923418,CITATION OIL & GAS CORPORATION,14156,2R,COUNTYLINE UNIT,1900810015,3/12/2019,CARTER,34.4582610,-97.5564800,"2,100",620
3501923633,CITATION OIL & GAS CORPORATION,14156,2R,COUNTYLINE UNIT,1900810014,9/20/2018,CARTER,34.4583020,-97.5433800,"2,100",620
3501924915,BURTON PAUL LLC,11307,2R,MESCAL KELLY WILLIAMS ,1805040033,3/30/2018,CARTER,34.3574610,-97.3823100,500,900
3501925297,KODIAK OIL & GAS INC,23226,2R,AKERS,1808580051,3/12/2018,CARTER,34.4173888,-97.4266944,"1,522","1,708"
3501925305,KODIAK OIL & GAS INC,23226,2R,AKERS,1812580014,8/7/2018,CARTER,34.4178889,-97.4284444,831,"2,000"
3501925329,KODIAK OIL & GAS INC,23226,2R,AKERS,1808580050,3/19/2018,CARTER,34.4111710,-97.4236520,792,"2,000"
3501925407,KODIAK OIL & GAS INC,23226,2R,BRADY  ,1812580013,6/29/2018,CARTER,34.4167833,-97.4296111,875,"2,000"
3501925481,CITATION OIL & GAS CORPORATION,14156,2R,CPSU,1709300065,3/9/2018,CARTER,34.3777780,-97.4031110,"1,500","1,000"
3501925589,ARDMORE PRODUCTION & EXPLORATION CO,16133,2R,SEOCU,1807110010,2/15/2018,CARTER,34.2560700,-97.3873820,"2,000","1,000"
3501925672,KODIAK OIL & GAS INC,23226,2R,AKERS,1808580053,3/20/2018,CARTER,34.4095100,-97.4236457,952,"2,000"
3501926168,KODIAK OIL & GAS INC,23226,2R,BRADY  ,1808580049,3/16/2018,CARTER,34.4105800,-97.4296500,"1,072","1,000"
3501926223,KODIAK OIL & GAS INC,23580,2R,BRADY  ,1808580052,3/16/2018,CARTER,34.4099600,-97.4289600,"1,110","2,000"
3501926264,KODIAK OIL & GAS INC,23226,2R,OIL CITY UNIT,1803180003,8/22/2018,CARTER,34.2640600,97.3975400,477,"1,000"
3502520855,WEINKAUF PETROLEUM INC,18444,2R,SCHNAUFER  ,1905810120,1/8/2019,CIMARRON,36.8772200,-102.0473300,"1,000","1,500"
3502735722,EDINGER ENGINEERING INC,18104,2R,RANGE,1906780020,1/25/2019,CLEVELAND,35.2027910,-97.2068300,"1,500","1,000"
3503703040,HINSON BOBBIE L,13015,2D,ELIZABETH WATSON,1607610035,5/15/2018,CREEK,35.6856140,-96.4642000,300,700
3503705572,SELLERS JACK B ESTATE OF,4209,2D,TARR,1811320004,8/17/2018,CREEK,35.8976630,-96.5576100,0,"4,500"
3503712647,EYLER ENERGY LLC,24148,2R,LASHLEY,1809130004,3/30/2018,CREEK,36.1141500,-96.4017000,500,"1,000"
3503717610,RUSH CREEK OPERATING LLC,23895,2R,S. ABRAHAM,1710450002,5/3/2018,CREEK,35.7311111,-96.3931944,0,500
3503717768,KRUMME OIL COMPANY LLP,1235,2D,HOAGLAND,1903400056,11/19/2018,CREEK,35.8432920,-96.2974700,0,500
3503720519,JONES RAYMOND H FAMILY TRUST,11596,2D,QV JACKSON,1801980015,9/21/2018,CREEK,35.9753990,-96.5409100,0,"2,000"
3503725021,JAMES RAYMOND L,17720,2D,MOORE-STIDHAM ,1907320028,2/20/2019,CREEK,36.0119640,-96.1537910,300,500
3503725540,SPARKS RESOURCES INC,21820,2R,JENKINS,1811320013,6/25/2018,CREEK,35.6728290,-96.2529700,300,"1,200"
3503728081,LITTLE RIVER ENERGY COMPANY,10148,2D,GEORGE JONES,1806380005,2/15/2018,CREEK,35.9981944,-96.5911667,500,"4,900"
3503728826,WEINS HORTON L,21286,2D,WINGO,1806670025,3/2/2018,CREEK,35.8486849,-96.2603491,500,"1,000"
3503729249,WELCH ENERGY LLC,20096,2R,YARGEE,1808910006,3/30/2018,CREEK,36.0750800,-96.5971700,0,"4,000"
3503729295,HALL GREG OIL & GAS LLC,21902,2R,DARLIN,1806670014,2/1/2018,CREEK,36.1569900,-96.4800100,900,"2,000"
3503729394,GLIMP OIL COMPANY LLC,19470,2R,MARY JONES,1809230018,5/15/2018,CREEK,35.9942900,-96.5301400,500,500
3503729407,E O K OPERATING LLC,23817,2D,CRYSTAL SWD,1901650077,11/13/2018,CREEK,35.8271050,-96.3770270,"1,000","19,500"
3503922500,CONTINENTAL RESOURCES INC,3186,2D,WOORI,1708980045,1/5/2018,CUSTER,35.6681390,-98.7040010,"2,500","19,000"
3504320585,LAGOON WATER LOGISTICS LLC,24110,CDW,FONDA,1900630042,1/4/2019,DEWEY,36.1196334,-98.7557540,"2,125","19,990"
3504322225,NOG LLC,23647,CDW,EVANS,1809970021,6/19/2018,DEWEY,36.0470920,-98.7303200,"2,000","19,500"
3504323577,COMANCHE EXPLORATION CO LLC,20631,2D,SMITH SWD,1807280037,2/23/2018,DEWEY,36.0656300,-98.6837500,"2,595","10,000"
3504724299,LAGOON WATER LOGISTICS LLC,24110,CDW,GOTTSCH,1813150017,8/10/2018,GARFIELD,36.3044900,-97.8357400,"1,790","19,999"
3504724549,SK NEMAHA LLC,24221,2D,WEBER,1800300007,2/20/2018,GARFIELD,36.2016938,-97.7801183,"3,000","19,900"
3504724776,LAGOON WATER LOGISTICS LLC,24110,CDW,KINETIC SWD,1902840057,12/19/2018,GARFIELD,36.3049088,-97.8178400,"2,000","19,999"
3504724833,SK NEMAHA LLC,24221,2D,CAROLYN ,1900330038,7/30/2018,GARFIELD,36.1744129,-97.7269664,2000,19999
3504724891,LAGOON WATER LOGISTICS LLC,24110,CDW,KOKOJAN SWD,1901380040,10/15/2018,GARFIELD,36.2310600,-97.9265500,"1,600","19,999"
3504725139,LAGOON WATER LOGISTICS LLC,24110,CDW,KAPPA SWD,1901380039,11/19/2018,GARFIELD,36.1248100,-97.4733100,"1,956","19,999"
3504725161,M M ENERGY INC,19118,2D,SHAFFER,1900850037,10/8/2018,GARFIELD,36.3764230,-97.5550100,"1,400","19,900"
3504920402,CALLIE OIL COMPANY LLC,23711,2R,DELANEY,E.O. 681978,8/23/2018,GARVIN,34.6868100,-96.9800300,500,"1,000"
3504921447,LUCKY ACE PETROLEUM LLC,21472,2D,THUN,1900630003,9/20/2018,GARVIN,34.6307830,-97.2347700,"1,000","1,000"
3504922282,PRIME OPERATING COMPANY,18626,2R,HARKREADER ,1904550002,12/3/2018,GARVIN,34.5659570,-97.4833600,946,"1,000"
3504923998,STEWART INC,22416,CDW,TRESSA RICHARDSON ,1905480025,2/7/2019,GARVIN,34.7106190,-97.4224600,"3,350","10,000"
3504924502,PRIME OPERATING COMPANY,24502,2R,"R.J. MAULDIN ""A""  ",1804420008,1/19/2018,GARVIN,34.6546139,-97.2710444,590,"1,000"
3504924937,KYBENCO DISPOSALS LLC,23518,CDW,SOUTH LINDSAY,1905130028,1/7/2019,GARVIN,34.7555640,-97.5931698,"1,935","19,990"
3504950332,CITATION OIL & GAS CORPORATION,14156,2R,NW EOLA,1900330015,9/19/2018,GARVIN,34.5831990,-97.4712800,"2,000","2,000"
3505120105,MID-CON ENERGY OPERATING LLC,23271,2R,MUTZ,1900560183,8/17/2018,GRADY,34.8935720,-97.9016300,"2,500","7,500"
3505122048,ZEPHYR SWD LLC,22964,CDW,HARDESTY,1806810052,3/6/2018,GRADY,35.2743830,-97.9115900,"1,750","19,999"
3505122341,ZEPHYR SWD LLC,22964,CDW,HARDESTY,1904960023,2/8/2019,GRADY,35.2693970,-97.9121400,"2,225","19,999"
3505123652,BASIC ENERGY SERVICES LP,21515,CDW,PISTOL PETE SWD ,1805550042,1/29/2018,GRADY,34.8996196,-97.7384719,"1,781","8,500"
3505123839,CONTINENTAL RESOURCES INC,3186,2R,HARTLEY,1806170002,1/24/2018,GRADY,35.0450600,-97.8519600,"4,000",NA
3505123888,S & S STAR OPERATING LLC,23996,CDW,ALEX SWD,1905010014,12/26/2018,GRADY,34.9126313,-97.7941772,"2,330","19,999"
3505124248,OVERFLOW ENERGY LLC,22383,CDW,MINCO SWD,679618,6/26/2018,GRADY,35.3129800,-97.8843000,"1,480","19,500"
3505124271,S & S STAR OPERATING LLC,23996,CDW,OKIEJACKS SWD,1807760047,4/11/2018,GRADY,35.2030300,-97.9413000,"1,500","19,500"
3505124314,KYBENCO DISPOSALS LLC,23518,CDW,MIDDLEBERG SWD,1808300010,4/3/2018,GRADY,35.0924340,-97.7348960,"1,810","19,990"
3505124336,SUPER HEATERS LLC,23795,CDW,BLANCHARD 1-32 SWD,1811610005,6/27/2018,GRADY,35.0413500,-97.7423200,"2,000","19,990"
3505124348,OVERFLOW ENERGY LLC,22383,CDW,SANDROCK ROAD SWD,1811700009,6/27/2018,GRADY,35.2040700,-97.7830300,"2,000","19,999"
3505124355,COBALT ENVIRONMENTAL SOLUTIONS LLC,23434,CDW,DIBBLE KENT CLIFT SWD,1809320005,5/29/2018,GRADY,35.0432300,-97.7828600,"1,950","19,990"
3505135389,MID-CON ENERGY OPERATING LLC,23271,2R,JOHN MUTZ ESTATE ,1900560185,8/17/2018,GRADY,34.8935720,-97.8972000,"2,500","7,500"
3505320652,WILDHORSE OPERATING COMPANY,20720,2D,GURLEY,1811220028,6/6/2018,GRANT,36.8425610,-97.8811200,400,500
3505920810,BEREXCO LLC,22550,2R,CAL-RAY,1812780002,9/17/2018,HARMON,36.8667640,-99.5071400,"1,200","2,000"
3506302865,HOMER OIL CO LLC,21443,2D,GOUGE,1506220029,11/14/2018,HUGHES,35.0966683,-96.3875043,0,300
3506321929,CANYON CREEK ENERGY OPERATING LLC,23443,2D,OLETA KING,1902220021,9/27/2018,HUGHES,34.9441667,-96.2597222,750,"1,000"
3506322657,ATCHLEY RESOURCES INC,20266,2R,WARREN,1902830014,10/31/2018,HUGHES,35.1166600,-96.4071600,"1,000",250
3506322912,R J EXPLORATION LLC,22656,2D,JAMES NIX ,672849,1/30/2018,HUGHES,34.9038889,-96.3272222,"1,885","2,000"
3506324556,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,EDWARD SWD,676395,4/17/2018,HUGHES,35.0729974,-96.1043450,"2,890","30,000"
3506324723,ANTIOCH OPERATING LLC,23947,CDW,KELLER,681460,8/14/2018,HUGHES,35.1164982,-96.2110939,"2,000","19,500"
3506324783,CALYX ENERGY III LLC,23515,2D,GREASY CREEK,678166,5/22/2018,HUGHES,35.2202792,-96.0516679,"1,500","17,500"
3506324850,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,GEORGE SWD,684225,10/2/2018,HUGHES,35.2598540,-96.0123480,"2,000","15,000"
3506324853,HUGHES DISPOSAL LLC,22798,CDW,HUGHES DISPOSAL,1903410049,11/20/2018,HUGHES,35.0988770,-96.4451180,"2,265","19,500"
3506324857,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,HAGGARD,686495,11/8/2018,HUGHES,35.0881200,-96.3080300,"2,525","15,000"
3506324859,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,WILLIAM ,686494,11/13/2018,HUGHES,35.0325600,-96.1820900,"2,825","15,000"
3506324867,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,HARVEY,1906490016,2/8/2019,HUGHES,35.1442100,-96.2134700,"2,175","19,900"
3506324880,CALYX ENERGY III LLC,23515,CDW,WETUMKA,692052,2/26/2019,HUGHES,35.2144900,-96.1993300,"2,030","15,000"
3506721053,K S & S OIL COMPANY INC,20497,2R,RICK SKINNER,1904660005,11/26/2018,JEFFERSON,33.9451944,-97.7166666,0,"4,999"
3506721100,DEHART COMPANY (THE),11992,2R,HARRIS,1805790006,1/9/2018,JEFFERSON,34.2404960,-97.6426520,"1,178",999
3507123619,TWISTED OAK OPERATING LLC,22261,2R,GILLHAM,1808950136,3/23/2018,KAY,36.6279160,-97.0639400,500,"5,000"
3507124257,MAXIM ENERGY CORPORATION,18071,2D,LORI,1902210025,10/1/2018,KAY,36.7689000,-96.9837000,500,750
3507124433,K3 OIL & GAS OPERATING COMPANY,24093,2D,BOWLING,1904850022,12/12/2018,KAY,36.9551389,-96.8894722,750,"4,000"
3507124474,KODA OPERATING LLC,24242,2D,WHITE EAGLE SWD,1903180013,11/9/2018,KAY,36.6220438,-97.3896667,"2,431","15,000"
3507300208,CAPSTONE OILFIELD DISPOSAL SERVICE LLC,21455,CDW,POWELL,677255,5/3/2018,KINGFISHER,36.1176990,-97.9763000,"2,300","10,000"
3507324516,BLUE DOLPHIN PRODUCTION LLC,20881,2D,BARTON SWD,1807030034,10/2/2018,KINGFISHER,36.0343130,-97.9573400,"2,500","19,990"
3507324596,S & S STAR OPERATING LLC,23996,CDW,3-MILE,1807170008,3/6/2018,KINGFISHER,35.7980790,-97.9490510,"2,000","19,999"
3507324735,BLUE DOLPHIN PRODUCTION LLC,20881,CDW,BARTON  ,1807700007,10/3/2018,KINGFISHER,35.9254722,-97.8893611,"2,500","19,990"
3507324764,SK NEMAHA LLC,24221,2D,HLADIK,1807970096,3/6/2018,KINGFISHER,35.9426389,-98.2078056,"2,000","19,999"
3507324778,NEWFIELD EXPLORATION MID-CON INC,20944,2D,SUZANNE ,672252,1/18/2018,KINGFISHER,35.7285568,-98.1197631,"2,000","25,000"
3507324860,LAGOON WATER LOGISTICS LLC,24110,CDW,DOVER UNIT HOOVER SWD,1812250003,12/5/2018,KINGFISHER,36.0143000,-97.9246400,"1,650","19,990"
3507324962,HINKLE OIL & GAS INC,21639,2R,EAST HENNESSEY UNIT,1806670013,2/23/2018,KINGFISHER,36.0726308,-97.8761873,"2,500","15,000"
3507325015,CHOATE DISPOSAL SERVICES LLC,23594,CDW,CHOATE SWD ,1810600016,6/6/2018,KINGFISHER,36.0742330,-97.9245470,"1,750","19,990"
3507325317,HINKLE OIL & GAS INC,21639,2D,HORN SWD,1901990008,10/5/2018,KINGFISHER,35.9552500,-97.7642000,"3,000","19,990"
3507325538,RED HAWK DISPOSAL LLC,23666,CDW,REDHAWK SWD ,672537,1/23/2018,KINGFISHER,36.1197810,-97.9720270,"2,505","40,000"
3507325748,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,CDW,BIG GULP SWD,1905370018,1/2/2019,KINGFISHER,36.0072460,-97.8722783,"3,000","19,900"
3507325869,COTTONMOUTH SWD LLC,24157,2D,HORNED FROG SWD,1806670022,2/15/2018,KINGFISHER,36.0649795,-97.7989220,"3,900","19,900"
3507325902,SK NEMAHA LLC,24221,2D,HLADIK,1807540002,3/16/2018,KINGFISHER,36.1165780,-97.7093810,"1,050","19,999"
3507325917,S & S STAR OPERATING LLC,23996,CDW,SALT LICK SWD,1807260061,3/15/2018,KINGFISHER,35.8342020,-98.1798420,"1,650","19,999"
3507325918,E O K OPERATING LLC,23817,CDW,HAJEK SWD,1807760048,3/23/2018,KINGFISHER,36.1305480,-97.9083000,950,"19,500"
